file,pages,mode,nonempty_pages,markdown,chars
10강 비용과 효과 비교.pdf,16,TEXT,16,10강 비용과 효과 비교.md,13274
10강 비용과 효과 비교실습.pdf,26,TEXT,26,10강 비용과 효과 비교실습.md,23247
11강 판단은 왜 흔들리는가 실습.pdf,27,TEXT,27,11강 판단은 왜 흔들리는가 실습.md,24712
11강 판단은 왜 흔들리는가 이론.pdf,15,TEXT,15,11강 판단은 왜 흔들리는가 이론.md,15610
12강 결정하기 전에 작은 실험을 할 수 있을까.pdf,47,TEXT,47,12강 결정하기 전에 작은 실험을 할 수 있을까.md,42065
13강 데이터 시각화.pdf,34,TEXT,34,13강 데이터 시각화.md,32233
14강 미니프로젝트.pdf,25,TEXT,25,14강 미니프로젝트.md,20752
1강 데이터를 보는 사람에서 데이터를 근거로 결정하는 사람으로 실습.pdf,12,OCR,12,1강 데이터를 보는 사람에서 데이터를 근거로 결정하는 사람으로 실습.md,18911
1강 데이터를 보는 사람에서 데이터를 근거로 결정하는 사람으로.pdf,18,OCR,18,1강 데이터를 보는 사람에서 데이터를 근거로 결정하는 사람으로.md,32575
2강 데이터를 믿어도 될까.pdf,19,OCR,19,2강 데이터를 믿어도 될까.md,42610
2장 데이터를 믿나요 실습.pdf,17,OCR,17,2장 데이터를 믿나요 실습.md,59130
3강 좋은 데이터와 나쁜 데이터 실습.pdf,16,OCR,16,3강 좋은 데이터와 나쁜 데이터 실습.md,37855
3강 좋은 데이터와 나쁜 데이터.pdf,24,OCR,24,3강 좋은 데이터와 나쁜 데이터.md,30144
4강 질문이 분석을 결정한다.pdf,19,TEXT,19,4강 질문이 분석을 결정한다.md,19011
5강 분석 결과는 같은데 왜 결정은 달라질까.pdf,16,OCR,16,5강 분석 결과는 같은데 왜 결정은 달라질까.md,40012
5강 실습 판단기준과가중치.pdf,22,TEXT,22,5강 실습 판단기준과가중치.md,30829
6강_숫자에서인사이트발견하기_이론.pdf,12,TEXT,12,6강_숫자에서인사이트발견하기_이론.md,9519
6강_실습_동네카페비교분석.pdf,16,TEXT,16,6강_실습_동네카페비교분석.md,11475
7강 여러 대안 중 선택하기.pdf,36,TEXT,36,7강 여러 대안 중 선택하기.md,25997
9강_불확실한상황의사결정_이론.pdf,18,TEXT,18,9강_불확실한상황의사결정_이론.md,15290
TalkFile_4강 질문이 분석을 결정한다 실습.pdf,23,TEXT,23,TalkFile_4강 질문이 분석을 결정한다 실습.md,17576
기말프로젝트_평가기준표.pdf,1,TEXT,1,기말프로젝트_평가기준표.md,4304
