영역,발견사항,위험도,개선조치
데이터 패키징,원시·중간 데이터 파일 다수 미포함,Critical,모든 원천 파일 또는 자동 다운로드 스크립트와 체크섬을 제공
train.ipynb,'merged data.csv'가 패키지에 없음,Critical,상대경로·데이터 생성 순서를 하나의 실행 파이프라인으로 통합
train.ipynb,셀 실행 순서가 뒤섞이고 GridSearch가 중단됨,Critical,커널 재시작 후 Run All 성공 로그와 고정 seed를 제출
train.ipynb,"검증셋을 튜닝·선택에 반복 사용, 최종 test 없음",High,rolling-origin CV와 완전 격리된 최종 test 사용
train.ipynb,1-step과 7-day recursive 성능 차이가 큼,High,예측 지평별(1h/6h/24h/168h) 성능을 별도 보고
train.ipynb,재귀 검증에 실제 미래 기상값 사용,High,운영 시점에 이용 가능한 기상예보값으로 재평가
KPX 단위시간 변경.py,문자열 누적 후 결과 미저장으로 집계 실패 가능,Critical,"수치형 변환, groupby/resample, 단위테스트로 대체"
가중합.py,기상 결측값을 0으로 치환,High,결측률 보고 후 보간/제외/다중대치 및 민감도 분석
가중합.py,복수 관측소 시 지자체 가중치가 중복될 수 있음,High,지자체 가중치를 관측소 수 또는 커버리지로 재배분
가중합.py,동명이인 행정구역명과 수작업 매핑,High,행정구역 코드·관측소 ID 기반 조인 및 매칭률 보고
인구/태양광 가중치,가중치 근거와 민감도 검증 부족,Medium,"가중치 합=1 검증, 대안 가중치 비교, 결과 민감도 보고"
표적 변수,'전력 사용량'과 발전단 수요의 의미·단위 혼재,High,"공식 정의, 단위(MWh/MW), 소수점·배율을 원천과 대조"
